chunk,lemmas,gloss
s'apercevoir de,se apercevoir de,to realize / notice
se rendre compte de,se rendre compte de,to realize
profiter de,profiter de,to take advantage of
se souvenir de,se souvenir de,to remember
se servir de,se servir de,to use
se moquer de,se moquer de,to make fun of
avoir besoin de,avoir besoin de,to need
avoir envie de,avoir envie de,to want / feel like
avoir peur de,avoir peur de,to be afraid of
avoir honte de,avoir honte de,to be ashamed of
avoir hâte de,avoir hâte de,to look forward to
avoir raison,avoir raison,to be right
avoir tort,avoir tort,to be wrong
tenir compte de,tenir compte de,to take into account
se passer de,se passer de,to do without
s'occuper de,se occuper de,to take care of
se plaindre de,se plaindre de,to complain about
se douter de,se douter de,to suspect
se méfier de,se méfier de,to distrust
compter sur,compter sur,to rely on
veiller à,veiller à,to see to / make sure
tenir à,tenir à,to be keen on / insist on
songer à,songer à,to think about / consider
renoncer à,renoncer à,to give up
s'habituer à,se habituer à,to get used to
réussir à,réussir à,to succeed in
parvenir à,parvenir à,to manage to
s'attendre à,se attendre à,to expect
consister à,consister à,to consist of
hésiter à,hésiter à,to hesitate to
tenir tête à,tenir tête à,to stand up to
faire attention à,faire attention à,to pay attention to
faire semblant de,faire semblant de,to pretend
faire face à,faire face à,to face / cope with
faire confiance à,faire confiance à,to trust
mettre en garde,mettre en garde,to warn
mettre au courant,mettre au courant,to inform / fill in
mettre en cause,mettre en cause,to implicate / call into question
prendre garde à,prendre garde à,to be careful of
il vaut mieux,il valoir mieux,it is better to
il s'agit de,il se agir de,it is about
en vouloir à,en vouloir à,to hold a grudge against
