rank,lemma
1,le
2,de
3,un
4,être
5,et
6,à
7,il
8,avoir
9,ne
10,je
11,son
12,que
13,se
14,qui
15,ce
16,dans
17,en
18,du
19,elle
20,au
21,de
22,ce
23,le
24,pour
25,pas
26,que
27,vous
28,par
29,sur
30,faire
31,plus
32,dire
33,me
34,on
35,mon
36,lui
37,nous
38,comme
39,mais
40,pouvoir
41,avec
42,tout
43,y
44,aller
45,voir
46,en
47,bien
48,où
49,sans
50,tu
51,ou
52,leur
53,homme
54,si
55,deux
56,mettre
57,autre
58,aussi
59,celui
60,temps
61,ça
62,savoir
63,falloir
64,voici
65,quoi
66,vouloir
67,là
68,jour
69,grand
70,peu
71,moi
72,même
73,prendre
74,rien
75,notre
76,personne
77,année
78,penser
79,quand
80,demander
81,sous
82,alors
83,donner
84,trouver
85,encore
86,vie
87,vers
88,part
89,monde
90,depuis
91,cela
92,état
93,chose
94,femme
95,fois
96,parler
97,main
98,petit
99,jamais
100,car
101,cette
102,leur
103,tel
104,question
105,beaucoup
106,plusieurs
107,chaque
108,quel
109,heure
110,moins
111,paraître
112,point
113,ville
114,esprit
115,enfant
116,dernier
117,longtemps
118,nouveau
119,ainsi
120,laisser
121,pays
122,leur
123,partir
124,arriver
125,sembler
126,venir
127,vivre
128,revenir
129,devoir
130,connaître
131,croire
132,tenir
133,sentir
134,rester
135,entendre
136,sortir
137,appeler
138,comprendre
139,suivre
140,montrer
141,continuer
142,commencer
143,finir
144,changer
145,jouer
146,écrire
147,lire
148,ouvrir
149,fermer
150,gagner
151,perdre
152,attendre
153,répondre
154,regarder
155,écouter
156,parler
157,chercher
158,travailler
159,vendre
160,acheter
161,porter
162,manger
163,boire
164,dormir
165,marcher
166,courir
167,tomber
168,monter
169,descendre
170,entrer
171,retourner
172,rentrer
173,quitter
174,rencontrer
175,expliquer
176,décider
177,essayer
178,réussir
179,échouer
180,apprendre
181,enseigner
182,étudier
183,oublier
184,se souvenir
185,rappeler
186,imaginer
187,rêver
188,espérer
189,craindre
190,préférer
191,détester
192,désirer
193,souhaiter
194,accepter
195,refuser
196,proposer
197,offrir
198,recevoir
199,envoyer
200,apporter
201,emporter
202,amener
203,emmener
204,conduire
205,voyager
206,visiter
207,habiter
208,demeurer
209,exister
210,devenir
211,naître
212,mourir
213,tuer
214,sauver
215,protéger
216,défendre
217,attaquer
218,gagner
219,perdre
220,construire
221,détruire
222,créer
223,produire
224,fabriquer
225,réparer
226,casser
227,jeter
228,lancer
229,tirer
230,pousser
231,tourner
232,frapper
233,toucher
234,tenir
